Object_Name_PT_EN,F_DL_1,F_DL_2,F_DL_3,F_DL_4,M_DL_1,M_DL_2,M_DL_3,M_DL_4,M_DL_5,M_DL_6,V_DL_1,V_DL_2,V_DL_3,V_DL_4,V_DL_5
abre_caricas|bottle_opener,-0.238,0.079603,0.12264,0.026339,0.21589,0.11165,-0.20178,0.11262,-0.063789,0.20211,-0.11253,0.04052,0.29483,0.075174,0.1964
afia-lapis|pencil_sharpener,-0.15424,-0.21407,-0.028665,-0.16116,0.26792,0.043242,0.020755,0.058612,-0.23939,-0.026784,-0.064085,-0.28268,0.16196,0.050512,0.1688
agrafador|stapler,0.073202,-0.29048,0.055897,-0.073979,0.27912,0.2184,-0.20128,-0.0022574,0.1531,-0.0054939,-0.35802,-0.14516,0.18952,0.1275,0.14363
agulha|needle,0.10489,-0.26594,0.080987,0.10945,0.34079,0.023246,0.34038,-0.071543,-0.024187,0.12178,-0.21974,-0.031482,-0.16558,-0.01144,-0.19466
alicate|pliers,-0.10984,-0.1466,0.17646,0.025578,0.22315,0.20128,-0.20195,0.011278,0.18586,0.16102,-0.31715,0.10691,0.061996,-0.13099,0.14733
apagador|board_eraser,0.025141,-0.15088,-0.19173,-0.18947,0.087851,0.14006,-0.096684,-0.14515,-0.11637,-0.26411,-0.08421,-0.30351,0.1468,0.26647,0.0065472
apito|whistle,0.5708,0.2519,-0.026753,-0.012147,0.16256,-0.15921,0.34243,0.061483,0.078407,-0.17127,0.016768,-0.32544,-0.022316,-0.18178,0.16439
balde|bucket,0.0071577,0.24768,0.068628,0.010752,-0.12851,-0.22639,-0.046948,-0.11469,0.31683,0.064766,0.38622,0.092322,0.074517,-0.15213,-0.07619
batedeira|whisk,-0.20925,0.11957,-0.02779,-0.14959,-0.1627,0.12593,-0.19168,0.1674,-0.16789,0.025417,0.026081,0.18095,0.13007,-0.15098,-0.17728
berbequim|electric_drill,-0.010304,-0.1602,0.2365,-0.0059137,-0.14916,0.24163,-0.092496,0.30996,0.03603,0.041066,-0.083827,-0.0086072,-0.081312,-0.37608,-0.043381
boia|rubber_ring,0.26336,0.13374,-0.06156,0.10174,-0.23734,0.021105,0.39801,-0.14674,0.30657,-0.13386,0.40192,-0.2882,-0.12078,-0.024211,-0.082515
bola_basquete|basket_ball,0.34215,0.067528,-0.0029087,-0.041786,-0.34531,0.022276,0.4418,0.13658,0.046741,-0.0090899,0.32241,-0.34526,-0.21478,0.069465,-0.086131
borracha|pencil_eraser,0.019474,-0.16524,-0.19529,-0.19302,0.18831,0.16368,0.075357,-0.21565,-0.089582,-0.24751,0.015608,-0.33481,0.070739,0.17733,0.055569
borrifador|spray_bottle,0.046123,0.1054,-0.10242,0.08813,0.13044,0.0024734,-0.22836,0.30437,0.16773,-0.11558,0.090889,0.051998,0.15567,-0.3224,0.065008
