Name_PT,V_DL_1,M_DL_1,F_DL_1
bisturi,12.1212121212000,80.8333333300000,25.6944444444000
cadeado,32.5757575758000,74.5833333300000,82.2916666667000
caneca,91.6666666667000,63.3333333300000,16.3194444444000
caneta,32.5757575758000,85.8333333300000,53.1250000000000
cesto,95.0757575758000,22.9166666700000,64.9305555556000
compasso,16.6666666667000,75.4166666700000,64.2361111111000
espada,34.4696969697000,22.5000000000000,55.2083333333000
espanador,85.6060606061000,14.5833333300000,59.3750000000000
ferro_de_engomar,57.5757575758000,2.08333333300000,48.6111111111000
fita_cola,67.0454545455000,87.9166666700000,79.5138888889000
frigideira,84.0909090909000,2.08333333300000,25.6944444444000
lixa,49.2424242424000,69.5833333300000,43.4027777778000
machado,25.7575757576000,10.8333333300000,87.8472222222000
mata_moscas,74.2424242424000,25.8333333300000,55.5555555556000
motosserra,43.1818181818000,10.8333333300000,76.7361111111000
palhinha,73.1060606061000,80,37.8472222222000
pente,67.0454545455000,67.0833333300000,50.6944444444000
piacaba,75.7575757576000,17.5000000000000,67.7083333333000
regador,79.5454545455000,13.3333333300000,61.1111111111000
vaso,92.8030303030000,22.9166666700000,60.7638888889000
